정류장ID,정류장명,위도,경도
293016038,영동부화장,36.57498,127.24087
293016039,고복2리,36.61318,127.24315
293016040,고복2리,36.61349,127.24327
293016041,기룡리(효교동),36.57654,127.24621
293016042,기룡리(효교동),36.57669,127.24638
293016043,와촌보건진료소,36.55668,127.24644
293016044,와촌보건진료소,36.55657,127.24644
293016045,고복리조각공원,36.61275,127.2476
293016046,고복리조각공원,36.61279,127.24778
293016047,신대2리마을회관,36.58474,127.24801
293016048,신대2리마을회관,36.58454,127.24817
293016049,고복저수지입구,36.60976,127.24836
293016050,고복저수지입구,36.60938,127.24855
293016051,와촌리(기와말),36.55682,127.2488
293016052,와촌리(기와말),36.55695,127.24885
293016053,고복리,36.60692,127.25073
293016054,고복리,36.607,127.25112
293016055,신대1리마을회관,36.58112,127.25147
293016056,신대1리,36.57817,127.25147
293016057,신대1리마을회관,36.5814876,127.2513956
293016058,신대1리,36.57801,127.25158
293016061,세종기숙학원,36.55689,127.252
293016062,은용리,36.489195,127.195662
293016063,번암터,36.56317,127.25387
293016064,연서초등학교,36.58203,127.25394
293016065,연서감리교회,36.57759,127.25602
293016066,연서감리교회,36.57767,127.25632
293016067,연서중학교,36.58099,127.25676
293016068,연서중학교,36.58113,127.25696
293016069,고복1리마을회관,36.60506,127.25748
293016070,고복1리마을회관,36.60462,127.25795
293016071,국촌2리,36.57727,127.25925
293016072,국촌2리,36.57711,127.25936
293016073,와촌1리(대실),36.55868,127.26061
293016074,와촌1리(대실),36.55887,127.26078
293016075,서면,36.58632,127.26114
293016076,서면,36.58628,127.26126
293016077,고복1리,36.59675,127.2614
293016078,고복1리,36.59669,127.26154
293016079,성제2리,36.59151,127.26172
293016080,성제2리,36.5914,127.26196
293016081,서세종농협,36.58857,127.26386
293016082,서세종농협,36.58847,127.26396
293016083,성제삼거리,36.58916,127.26419
293016084,성제삼거리,36.58922,127.26433
293016085,국촌2리마을회관,36.57566,127.26499
293016086,국촌2리마을회관,36.57578,127.26507
293016087,전당골,36.58242,127.26832
